System,NodeID,SpeciesID,StageID,Stage,SpeciesID.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeSD,BodySizeN,BodySizeEstimation,BodySizeNotes,Abundance(no./ha),Abundance95%CL,AbundanceDF,Biomass(kg/ha),Biomass95%CL,BiomassDF,BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,NodeNotes
EPB,73,49,1,adult,49.1,brown cucumber,holothurian,taxon,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.01494624,0.00971072,8,population,individuals encountered during the random sampling described in Kuris et al. (2008),190410.76,291083.415,7.00003934,2.6950438,5.45879959,7.00007436,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Echinodermata,,,Holothuroidea,,,,,,,,,
EPB,74,50,1,adult,50.1,Carcinonemertes sp.,nemertean,taxon,Species,,feeding,infectious,infectious,macroparasite,,,,,0.000176,,,species,volumetric; (mean L from Kuris 1978 & lxw ratio from Shields & Kuris 1989),,,,,,,,,Animalia,Nemertea,,,,,,,,,Carcinonemertidae,Carcinonemertes,sp.,"also considered a ""symbiotic egg predator"""
EPB,76,52,1,adult,52.1,cucumber,holothurian,taxon,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.01306699,,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),26482.11,62620.2475,7,0.3460415,0.8182581,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Echinodermata,,,Holothuroidea,,,,,,,,,
EPB,77,53,1,adult,53.1,nemertean,nemertean,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00355665,0.00163304,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),110964.42,164408.265,7.00038936,0.4297778,0.70001138,7.00037547,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Nemertea,,,,,,,,,,,,
EPB,79,55,1,adult,55.1,phoronid,phoronid,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00244201,,81,population,individuals encountered during the random sampling described in Kuris et al. (2008),2162705.92,4784073.2,7,5.2813597,11.6827772,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Phoronida,,,,,,,,,,,,
EPB,80,56,1,adult,56.1,turbellarian,turbellarian,taxon,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00296524,,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),26482.11,62620.2475,7,0.0785259,0.18568412,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Platyhelminthes,,,Turbellaria,,,,,,,,,
EPB,81,57,1,adult,57.1,white cucumber,holothurian,taxon,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.01417997,0.00656172,5,population,individuals encountered during the random sampling described in Kuris et al. (2008),150065.31,257223.792,7,1.9206915,4.257917,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Echinodermata,,,Holothuroidea,,,,,,,,,
EPB,82,58,1,adult,58.1,white nemertean,nemertean,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00656563,0.00132348,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),105928.45,250480.99,7,0.6954868,1.644565,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Nemertea,,,,,,,,,,,,
EPB,83,59,1,adult,59.1,Chione californiensis,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,3.5111445,2.94380159,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),14641.07,25962.2489,7,33.214136,54.6824268,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,,,Bivalvia,,,,,,Veneridae,Chione,californiensis,
EPB,84,60,1,adult,60.1,Chione fluctifraga,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,6.25426222,,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),1220.16,2985.62891,6,7.6312132,18.6729061,6,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,,,Bivalvia,,,,,,Veneridae,Chione,fluctifraga,
EPB,85,61,1,adult,61.1,California Softshell Clam,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,0.18284959,0.08055812,6,population,individuals encountered during the random sampling described in Kuris et al. (2008),60261.54,139953.072,4.00344077,7.4505812,14.4726662,4.20881053,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,,,Bivalvia,,,,,,Myidae,Cryptomya,californica,
EPB,86,62,1,adult,62.1,Ribbed Mussel,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,8.98188667,6.15712429,118,population,individuals encountered during the random sampling described in Kuris et al. (2008),69224.13,65411.3451,6.31908002,626.91202,549.398658,7.15858828,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,,,Bivalvia,,,,,,Mytilidae,Geukensia,demissa,
EPB,87,63,1,adult,63.1,Pacific Eggcockle,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,0.14450565,0.12450535,2,population,individuals encountered during the random sampling described in Kuris et al. (2008),4013.71,8448.76566,7.00439556,0.3096666,0.52331401,8.24300617,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,,,Bivalvia,,,,,,Cardiidae,Laevicardium,substriatum,
EPB,88,64,1,adult,64.1,Bent-nosed Clam,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,1.83610916,0.89957012,2,population,individuals encountered during the random sampling described in Kuris et al. (2008),7084.39,16751.9133,7,13.007708,30.7583415,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,,,Bivalvia,,,,,,Tellinidae,Macoma,nasuta,
EPB,92,68,1,adult,68.1,Pacific Littleneck Clam,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,2.84970943,,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),628.69,1538.35795,6,1.7915942,4.38387316,6,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,,,Bivalvia,,,,,,Veneridae,Protothaca,staminea,
EPB,93,69,1,adult,69.1,Protothaca?,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,2.84970943,,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),628.69,1538.35795,6,1.7915942,4.38387316,6,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,,,Bivalvia,,,,,,,,,
EPB,95,71,1,adult,71.1,Fat Jackknife Clam,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,4.87004429,,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),471.52,1153.76846,6,2.2963245,5.6189035,6,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,,,Bivalvia,,,,,,Psammobiidae,Tagelus,affinis,
EPB,97,73,1,adult,73.1,Lesser Tagelus,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,2.04512797,1.92843458,41,population,individuals encountered during the random sampling described in Kuris et al. (2008),104793.32,108254.393,7.00245346,241.99,225.680577,7.00201836,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,,,Bivalvia,,,,,,Psammobiidae,Tagelus,subteres,
EPB,98,74,1,adult,74.1,unk bivalve,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,0.88111393,0.56925507,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),19245.92,29918.9434,7,23.309543,42.6734808,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,,,Bivalvia,,,,,,,,,
EPB,99,59,2,larva,59.2,Chione californiensis,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.63E-05,,,approximation,average bivalve veliger encountered in csm plankton samples,,,,0.0025226,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Mollusca,,,Bivalvia,,,,,,Veneridae,Chione,californiensis,
EPB,100,60,2,larva,60.2,Chione fluctifraga,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.63E-05,,,approximation,average bivalve veliger encountered in csm plankton samples,,,,0.0005796,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Mollusca,,,Bivalvia,,,,,,Veneridae,Chione,fluctifraga,
EPB,101,61,2,larva,61.2,California Softshell Clam,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.63E-05,,,approximation,average bivalve veliger encountered in csm plankton samples,,,,0.0005659,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Mollusca,,,Bivalvia,,,,,,Myidae,Cryptomya,californica,
EPB,102,62,2,larva,62.2,Ribbed Mussel,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.63E-05,,,approximation,average bivalve veliger encountered in csm plankton samples,,,,0.0476137,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Mollusca,,,Bivalvia,,,,,,Mytilidae,Geukensia,demissa,
EPB,103,63,2,larva,63.2,Pacific Eggcockle,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.63E-05,,,approximation,average bivalve veliger encountered in csm plankton samples,,,,2.35E-05,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Mollusca,,,Bivalvia,,,,,,Cardiidae,Laevicardium,substriatum,
EPB,104,64,2,larva,64.2,Bent-nosed Clam,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.63E-05,,,approximation,average bivalve veliger encountered in csm plankton samples,,,,0.0009879,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Mollusca,,,Bivalvia,,,,,,Tellinidae,Macoma,nasuta,
EPB,108,68,2,larva,68.2,Pacific Littleneck Clam,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.63E-05,,,approximation,average bivalve veliger encountered in csm plankton samples,,,,0.0001361,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Mollusca,,,Bivalvia,,,,,,Veneridae,Protothaca,staminea,
EPB,109,69,2,larva,69.2,Protothaca?,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.63E-05,,,approximation,average bivalve veliger encountered in csm plankton samples,,,,0.0001361,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Mollusca,,,Bivalvia,,,,,,Veneridae,,,
EPB,111,71,2,larva,71.2,Fat Jackknife Clam,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.63E-05,,,approximation,average bivalve veliger encountered in csm plankton samples,,,,0.0001744,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Mollusca,,,Bivalvia,,,,,,Psammobiidae,Tagelus,affinis,
EPB,113,73,2,larva,73.2,Lesser Tagelus,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.63E-05,,,approximation,average bivalve veliger encountered in csm plankton samples,,,,0.018379,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Mollusca,,,Bivalvia,,,,,,Psammobiidae,Tagelus,subteres,
