System,NodeID,SpeciesID,StageID,Stage,SpeciesID.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeSD,BodySizeN,BodySizeEstimation,BodySizeNotes,Abundance(no./ha),Abundance95%CL,AbundanceDF,Biomass(kg/ha),Biomass95%CL,BiomassDF,BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,NodeNotes
BSQ,36,36,1,adult,36.1,brown hesionid,annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00608,0.00183042,7,population,individuals encountered during the random sampling described in Kuris et al. (2008),452702.34,996509.429,4.00000264,2.9904229,6.68378308,4.00000005,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,Hesionidae,,,maybe Ophiodromus pugettensis (L.Harris LACMNH)
BSQ,37,37,1,adult,37.1,poly unk (brwn setae ant third),annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00458016,0.00143569,19,population,individuals encountered during the random sampling described in Kuris et al. (2008),621296.7,1448243.61,4.00153384,2.8556955,6.66088687,4.00125847,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,,,,
BSQ,38,38,1,adult,38.1,"orbiniid, pointed prostomium",annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00244201,,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),8597.91,20330.8161,7,0.0209962,0.04964815,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,Orbiniidae,,,
BSQ,39,39,1,adult,39.1,Naineris,annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.0050057,0.00311918,69,population,individuals encountered during the random sampling described in Kuris et al. (2008),3471713.47,4534069.77,4.00037569,15.951528,11.2701463,4.01709522,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,Orbiniidae,Naineris,,
BSQ,40,40,1,adult,40.1,poly unk B (4 prost. tents),annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00337077,0.00114805,3,population,individuals encountered during the random sampling described in Kuris et al. (2008),25793.72,60992.4483,7,0.0869446,0.20559134,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,,,,
BSQ,41,41,1,adult,41.1,poly unk B (lg green),annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.01810291,,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),8597.91,20330.8161,7,0.1556471,0.36804684,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,,,,
BSQ,42,42,1,adult,42.1,"poly unk(""fuzzy dorsum"")",annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00445285,0.00239138,17,population,individuals encountered during the random sampling described in Kuris et al. (2008),146164.4,195460.017,7,0.6508477,0.89987606,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,,,,
BSQ,43,43,1,adult,43.1,Polydora sp.,annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00358076,0.00083401,2,population,individuals encountered during the random sampling described in Kuris et al. (2008),203827.23,565915.106,4,0.7298561,2.0264055,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,Spionidae,Polydora,sp.,
BSQ,45,45,1,adult,45.1,spionid,annelid,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00367856,0.00212751,2,population,individuals encountered during the random sampling described in Kuris et al. (2008),17195.81,40661.6322,7,0.0632558,0.1495761,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,Spionidae,,,
BSQ,49,24,2,larva,24.2,annelid unknown (green saccate thin skin),annelid,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.001057,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,,,,
BSQ,50,25,2,larva,25.2,Capitella capitata,annelid,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0004189,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,Capitellidae,Capitella,capitata,
BSQ,51,26,2,larva,26.2,capitellid?,annelid,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0004745,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,,,,
BSQ,54,29,2,larva,29.2,Cirriformia spirabrancha,annelid,life stage,Species,,nonfeeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0168351,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,Cirratulidae,Cirriformia,spirabrancha,
BSQ,59,34,2,larva,34.2,"Neanthes ""arenaceodentata""",annelid,life stage,Species,,nonfeeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0018909,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,Nereidae,Neanthes,arenaceodentata,
BSQ,60,36,2,larva,36.2,brown hesionid,annelid,life stage,Species,,nonfeeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0100831,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,Hesionidae,,,
BSQ,61,37,2,larva,37.2,poly unk (brwn setae ant third),annelid,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0096288,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,,,,
BSQ,62,38,2,larva,38.2,"orbiniid, pointed prostomium",annelid,life stage,Species,,nonfeeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0000708,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,Orbiniidae,,,
BSQ,63,39,2,larva,39.2,Naineris,annelid,life stage,Species,,nonfeeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0537854,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,Orbiniidae,Naineris,,
BSQ,64,40,2,larva,40.2,poly unk B (4 prost. tents),annelid,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0002932,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,,,,
BSQ,65,41,2,larva,41.2,poly unk B (lg green),annelid,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0005248,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,,,,
BSQ,66,42,2,larva,42.2,"poly unk(""fuzzy dorsum"")",annelid,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0021945,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,,,,
BSQ,67,43,2,larva,43.2,Polydora sp.,annelid,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0024609,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,Spionidae,Polydora,sp.,
BSQ,69,45,2,larva,45.2,spionid,annelid,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0002133,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,Spionidae,,,
BSQ,71,47,1,adult,47.1,leech(glossiphonid),leech,taxon,Family,,feeding,free-living,free-living,micropredator,,,,,,,,,,,,,,,,,,Animalia,Annelida,,,Hirudinoidea,,,,,,Glossiphoniidae,,,
BSQ,72,48,1,adult,48.1,anthozoan,anthozoan,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00148,0.00039413,36,population,individuals encountered during the random sampling described in Kuris et al. (2008),230650.12,411699.482,4.00009102,0.2822231,0.58961184,4.0000689,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Cnidaria,,,Anthozoa,,,,,,,,,
BSQ,77,53,1,adult,53.1,nemertean,nemertean,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00656563,0.00162093,2,population,individuals encountered during the random sampling described in Kuris et al. (2008),175931.02,307393.666,6.06591589,1.1870713,2.33907937,4.54038297,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Nemertea,,,,,,,,,,,,
BSQ,78,54,1,adult,54.1,ophiuroid,ophiuroid,taxon,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00104905,0.00014433,9,population,individuals encountered during the random sampling described in Kuris et al. (2008),77381.15,182977.345,7,0.0811769,0.19195292,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Echinodermata,,,Ophiuroidea,,,,,,,,,
BSQ,90,66,1,adult,66.1,Blue Mussel,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,,,,,,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,Mytilidae,Mytilus,galloprovincialis,
BSQ,106,66,2,larva,66.2,Blue Mussel,bivalve,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.63E-05,,,approximation,average bivalve veliger encountered in csm plankton samples,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,Mytilidae,Mytilus,galloprovincialis,
BSQ,115,75,1,adult,75.1,Acteocina inculta,snail,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00564874,0.00206365,9,population,individuals encountered during the random sampling described in Kuris et al. (2008),497794.36,835219.142,4.12778938,2.9697476,4.51912685,5.01604108,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,,,Gastropoda,,,,,,Scaphandridae,Acteocina,inculta,
BSQ,116,76,1,adult,76.1,California Assiminea,snail,taxon,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00235182,0.00025167,5,population,individuals encountered during the random sampling described in Kuris et al. (2008),509568.07,1414787.76,4,1.1984132,3.32732855,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,,,Gastropoda,,,,,,Assimineidae,Assiminea,californica,
BSQ,117,77,1,adult,77.1,Four-Threaded Bittium,snail,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.02180034,0.01776239,21,population,individuals encountered during the random sampling described in Kuris et al. (2008),442234.02,639135.951,4.38811805,9.3851919,13.9620632,4.18065274,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,,,Gastropoda,,,,,,Cerithiidae,Bittium,quadrifilatum,
BSQ,119,79,1,adult,79.1,California Horn Snail,snail,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.84586523,0.40657919,2923,population,individuals encountered during the random sampling described in Kuris et al. (2008),561446.77,436201.856,4.1164892,568.8682,473.443486,4.03717218,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,,,Gastropoda,,,,,,Potamididae,Cerithidea,californica,
BSQ,122,82,1,adult,82.1,Salt Marsh Snail,snail,taxon,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.59693018,0.14026375,26,population,individuals encountered during the random sampling described in Kuris et al. (2008),18348.09,25987.9714,4.00000009,10.605524,15.1458426,4.00000004,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,,,Gastropoda,,,,,,Ellobiidae,Melampus,olivaceus,
BSQ,126,86,1,adult,86.1,Black Salt Marsh Mosquito,mosquito,life stage,Species,,feeding,free-living,free-living,micropredator,,intermediate,resident,,0.0025,,,species,"literature (Koenraadt 2008) mass of congener, A. aegypti",,,,,,,,,Animalia,Arthropoda,Hexapoda,,,,Diptera,,,,Culicidae,Aedes,taeniorhynchus,
BSQ,128,88,1,adult,88.1,Coleopteran,beetle,taxon,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00124115,7.39E-05,2,population,individuals encountered during the random sampling described in Kuris et al. (2008),203827.23,565915.106,4,0.2529801,0.70238529,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Hexapoda,,,,Coleoptera,,,,,,,
BSQ,129,89,1,adult,89.1,corophiid?,amphipod,taxon,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00120054,0.00090034,12,population,individuals encountered during the random sampling described in Kuris et al. (2008),888208.86,2466063.15,4,1.0663345,2.96061928,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Crustacea,,Malacostraca,,Amphipoda,,,,Corophiidae,,,
BSQ,130,90,1,adult,90.1,Western Encephalitis Mosquito,mosquito,life stage,Species,,feeding,free-living,free-living,micropredator,,intermediate,resident,,0.00217,,,species,literature (Gray & Bradley 2003),,,,,,,,,Animalia,Arthropoda,Hexapoda,,,,Diptera,,,,Culicidae,Culex,tarsalis,
BSQ,131,91,1,adult,91.1,cumacean,cumacean,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00273967,0.00154318,2,population,individuals encountered during the random sampling described in Kuris et al. (2008),148034.81,411010.525,4,0.4055668,1.12603392,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Crustacea,,Malacostraca,,Cumacea,,,,,,,
BSQ,132,92,1,adult,92.1,cyclopoid copepod,copepod,taxon,Order,,feeding,free-living,free-living,predator,,low,resident,,8.28E-06,,,species,set equal to body size of those at csm,,,,0.050791,,,extrapolation from other estuary,"CSM plankton cores, adjusted for habitat area",Animalia,Arthropoda,Crustacea,,Copepoda,,Cyclopoida,,,,,,,
BSQ,134,94,1,adult,94.1,Ephydra,dipteran,life stage,Species,,feeding,free-living,free-living,predator,,intermediate,resident,,0.03373598,,,approximation,estimate (0 .75 larva),,,,0.1213959,,,biomass vs. body size relationship,known biomass v. body size relationship across species (Hechinger et al. in prep)),Animalia,Arthropoda,Hexapoda,,,,Diptera,,,,Ephydridae,,,
BSQ,136,96,1,adult,96.1,gammaridean (red eye),amphipod,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00501479,0.00545836,16,population,individuals encountered during the random sampling described in Kuris et al. (2008),1323759.53,1694674.44,7.95740207,6.6302343,9.70231994,6.72285102,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Crustacea,,Malacostraca,,Amphipoda,Gammaridea,,,,,,
BSQ,137,97,1,adult,97.1,gammaridean (red striped antennae),amphipod,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00245777,0.00252406,12,population,individuals encountered during the random sampling described in Kuris et al. (2008),888208.86,1992447.45,4,2.1830154,3.73725069,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Crustacea,,Malacostraca,,Amphipoda,Gammaridea,,,,,,
BSQ,138,98,1,adult,98.1,gammaridean A (BSQc3),amphipod,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00726686,,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),809189.4,20330.8161,7,3.593822,0.14774122,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Crustacea,,Malacostraca,,Amphipoda,Gammaridea,,,,,,
BSQ,140,100,1,adult,100.1,harpacticoid,copepod,taxon,Order,,feeding,free-living,free-living,predator,,low,resident,,5.17E-06,,,approximation,approximated to copepod.thalassinidean,,,,0.2853421,,,extrapolation from other estuary,"CSM plankton cores, adjusted for habitat area",Animalia,Arthropoda,Crustacea,,Copepoda,,Harpacticoida,,,,,,,
BSQ,141,101,1,adult,101.1,Nebalia sp.,leptostracan,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00542375,0.00267672,27,population,individuals encountered during the random sampling described in Kuris et al. (2008),1213435.95,2354848.62,4.00083247,6.0651289,12.650399,4.00188114,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Crustacea,,Malacostraca,,Leptostraca,,,,,Nebalia,sp.,
BSQ,143,103,1,adult,103.1,ostracod,ostracod,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,3.22E-05,1.36E-05,7,population,individuals encountered during the random sampling described in Kuris et al. (2008),518121.84,895776.672,4,0.0166929,0.0285947,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Crustacea,,Ostracoda,,,,,,,,,
BSQ,144,104,1,adult,104.1,ostracod-planktonic,ostracod,taxon,Class,,feeding,free-living,free-living,predator,,low,resident,,3.61E-05,,,species,set equal to body size of those at csm,,,,0.2437971,,,extrapolation from other estuary,"CSM plankton cores, adjusted for habitat area",Animalia,Arthropoda,Crustacea,,Ostracoda,,,,,,,,,
