NodeID,SpeciesID,StageID,Stage,Species.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeEstimation,BodySizeNotes,BodySizeN,Biomass(g/m^2),BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,NodeNotes
12,12,1,adult,12.1,Erpobdella sp.,Hirudinea,taxon,Genus,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,0.001491529,Population,Sampling from Preston et al. In Prep. Length-to-mass regression from Benke et al. 1999. ,13,0.003622921,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Annelida,,,Hirudinea,,Arhynchobdellida,Erpobdelliformes,,,Erpobdellidae,Erpobdella,,
13,13,1,adult,13.1,Physa sp.,Gastropoda,taxon,Genus,,feeding,free-living,free-living,detritivore ,,Low,Resident,Native,0.005031,Population,Body size does not include shell. Sampling and Length-to-mass regression from Preston et al. In Prep.,65,0.063756786,Quantification from sampling,Biomass does not include shell. Sampling from Preston et al. In Prep.,Animalia,Mollusca,,,Gastropoda,,Basommatophora ,,,Planorboidea,Physidae,Physa,,
14,14,1,adult,14.1,Helisoma sp.,Gastropoda,taxon,Genus,,feeding,free-living,free-living,detritivore ,,Low,Resident,Native,0.0172262,Population,Body size does not include shell. Sampling and Length-to-mass regression from Preston et al. In Prep.,875,3.027642513,Quantification from sampling,Biomass does not include shell. Sampling from Preston et al. In Prep.,Animalia,Mollusca,,,Gastropoda,,Basommatophora ,,,Planorboidea,Planorbidaae,Helisoma,,
15,15,1,adult,15.1,Hyalella sp.,Amphipoda,taxon,Genus,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,7.64E-05,Population,Sampling from Preston et al. In Prep. Length-to-mass regression from Hall et al. 2006. ,1132,0.016863857,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Arthropoda,Crustacea,,Malacostraca,,Amphipoda,,,,Dogielinotidae,Hyalella,,
16,16,1,adult,16.1,Macrocyclops sp.,Copepoda,taxon,Genus,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,,,,,,,,Animalia,Arthropoda,Crustacea,,Maxillopoda,Copepoda,Cyclopoida,,,,Cyclopidae,Macrocyclops,,
17,17,1,adult,17.1,diaptomidae,Copepoda,taxon,Family,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,,,,,,,,Animalia,Arthropoda,Crustacea,,Maxillopoda,Copepoda,Calanoida,,,,Diaptomidae,,,
18,18,1,adult,18.1,Simocephalus sp.,Cladocera,taxon,Genus,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,,,,,,,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,,,,Daphnidae,Simocephalus,,
19,19,1,adult,19.1,Cyzicus californicus,Ostracoda,taxon,Species,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,0.000488501,Population,Sampling from Preston et al. In Prep. Length-to-mass regression from Anderson et al. 1998. ,100,0.730007647,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Arthropoda,Crustacea,,Branchiopoda,Phyllopoda,Diplostraca,Spinicaudata,,,Cyzicidae,Cyzicus,californicus,
20,20,1,adult,20.1,Callibaetis sp.,Ephemeroptera,life stage,Genus,,non-feeding,free-living,free-living,non-feeding,,Intermediate,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Palaeoptera,Ephemeroptera,Pisciforma,,,Baetidae,Callibaetis,,
21,20,2,larvae,20.2,Callibaetis sp.,Ephemeroptera,life stage,Genus,,feeding,free-living,free-living,predator,,Low,Resident,Native,0.000895149,Population,Sampling from Preston et al. In Prep. Length-to-mass regression from Benke et al. 1999. ,186,0.032462033,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Arthropoda,,Hexapoda,Insecta,Palaeoptera,Ephemeroptera,Pisciforma,,,Baetidae,Callibaetis,,
22,21,1,adult,21.1,Haliplus sp. ,Coleoptera,life stage,Genus,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,0.000775126,Population,Sampling from Preston et al. In Prep. Length-to-mass regression from Benke et al. 1999. ,42,0.006347298,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Coleoptera,Adephaga,,Haliploidea,Haliplidae,Haliplus,,
23,21,2,larvae,21.2,Haliplus sp. ,Coleoptera,life stage,Genus,,feeding,free-living,free-living,predator,,Low,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Coleoptera,Adephaga,,Haliploidea,Haliplidae,Haliplus,,
24,22,1,adult,22.1,Hydrophilus sp.,Coleoptera,life stage,Genus,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Coleoptera,Polyphaga,Staphyliniformia,Hydrophiloidea,Hydrophilidae,Hydrophilus,,
25,22,2,larvae,22.2,Hydrophilus sp.,Coleoptera,life stage,Genus,,feeding,free-living,free-living,predator,,Low,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Coleoptera,Polyphaga,Staphyliniformia,Hydrophiloidea,Hydrophilidae,Hydrophilus,,
26,23,1,adult,23.1,Tropisternus sp.,Coleoptera,life stage,Genus,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,0.022816628,Population,Sampling from Preston et al. In Prep. Length-to-mass regression from Benke et al. 1999. ,18,0.076737537,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Coleoptera,Polyphaga,Staphyliniformia,Hydrophiloidea,Hydrophilidae,Tropisternus,,
27,23,2,larvae,23.2,Tropisternus sp.,Coleoptera,life stage,Genus,,feeding,free-living,free-living,predator,,Low,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Coleoptera,Polyphaga,Staphyliniformia,Hydrophiloidea,Hydrophilidae,Tropisternus,,
28,24,1,adult,24.1,Notonecta sp. ,Hemiptera,life stage,Genus,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,0.005392616,Population,Sampling from Preston et al. In Prep. Length-to-mass regression from Benke et al. 1999. ,28,0.029439118,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Hemiptera,,,,Notonectidae,Notonecta,,
29,24,2,larvae,24.2,Notonecta sp. ,Hemiptera,life stage,Genus,,feeding,free-living,free-living,predator,,Low,Resident,Native,0.001473595,Population,Sampling from Preston et al. In Prep. Length-to-mass regression from Benke et al. 1999. ,27,0.007757277,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Hemiptera,,,,Notonectidae,Notonecta,,
30,25,1,adult,25.1,gerridae,Hemiptera,life stage,Family,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Hemiptera,,,Gerroidea,Gerridae,,,
31,25,2,larvae,25.2,gerridae,Hemiptera,life stage,Family,,feeding,free-living,free-living,predator,,Low,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Hemiptera,,,Gerroidea,Gerridae,,,
32,26,1,adult,26.1,Hesperocorixa sp.,Hemiptera,life stage,Genus,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,0.003170559,Population,Sampling from Preston et al. In Prep. Length-to-mass regression from Benke et al. 1999. ,6,0.003708979,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Hemiptera,,,,Corixidae,Hesperocorixa,,
33,26,2,larvae,26.2,Hesperocorixa sp.,Hemiptera,life stage,Genus,,feeding,free-living,free-living,predator,,Low,Resident,Native,0.00127724,Population,Sampling from Preston et al. In Prep. Length-to-mass regression from Benke et al. 1999. ,5,0.001245116,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Hemiptera,,,,Corixidae,Hesperocorixa,,
34,27,1,adult,27.1,Lethocerus americanus,Hemiptera,life stage,Species,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Hemiptera,,,,Belostomatidae,Letherocerus,americanus,
35,27,2,larvae,27.2,Lethocerus americanus,Hemiptera,life stage,Species,,feeding,free-living,free-living,predator,,Low,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Hemiptera,,,,Belostomatidae,Letherocerus,americanus,
36,28,1,adult,28.1,Belostoma sp. ,Hemiptera,life stage,Genus,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Hemiptera,,,,Belostomatidae,Belostoma,,
37,28,2,larvae,28.2,Belostoma sp. ,Hemiptera,life stage,Genus,,feeding,free-living,free-living,predator,,Low,Resident,Native,0.007644235,Population,Sampling from Preston et al. In Prep. Length-to-mass regression from Benke et al. 1999. ,7,0.010432763,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Hemiptera,,,,Belostomatidae,Belostoma,,
38,29,1,adult,29.1,chironomidae,Diptera,life stage,Family,,non-feeding,free-living,free-living,non-feeding,,Intermediate,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Diptera,Nematocera,Culicimorpha,Chironomoidea,Chironomidae,,,
39,29,2,larvae,29.2,chironomidae,Diptera,life stage,Family,,feeding,free-living,free-living,predator,,Low,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Diptera,Nematocera,Culicimorpha,Chironomoidea,Chironomidae,,,
40,29,3,pupae,29.3,chironomidae,Diptera,life stage,Family,,non-feeding,free-living,free-living,non-feeding,,Low,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Diptera,Nematocera,Culicimorpha,Chironomoidea,Chironomidae,,,
41,30,1,adult,30.1,ceratopogonidae,Diptera,life stage,Family,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Diptera,Nematocera,Culicimorpha,Chironomoidea,Ceratopogonidae,,,
42,30,2,larvae,30.2,ceratopogonidae,Diptera,life stage,Family,,feeding,free-living,free-living,predator,,Low,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Diptera,Nematocera,Culicimorpha,Chironomoidea,Ceratopogonidae,,,
43,30,3,pupae,30.3,ceratopogonidae,Diptera,life stage,Family,,non-feeding,free-living,free-living,non-feeding,,Low,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Diptera,Nematocera,Culicimorpha,Chironomoidea,Ceratopogonidae,,,
44,31,1,adult,31.1,ephydridae,Diptera,life stage,Family,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Diptera,Brachycera,Muscomorpha,Ephydroidea,Ephydridae,,,
45,31,2,larvae,31.2,ephydridae,Diptera,life stage,Family,,feeding,free-living,free-living,predator,,Low,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Diptera,Brachycera,Muscomorpha,Ephydroidea,Ephydridae,,,
46,31,3,pupae,31.3,ephydridae,Diptera,life stage,Family,,non-feeding,free-living,free-living,non-feeding,,Low,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,Neoptera,Diptera,Brachycera,Muscomorpha,Ephydroidea,Ephydridae,,,
47,32,1,adult,32.1,Tramea sp. ,Odonata,life stage,Genus,,feeding,free-living,free-living,predator,,High,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,,Odonata,Anisoptera,,Cavilabiata,Libellulidae,Tramea,,
48,32,2,larvae,32.2,Tramea sp. ,Odonata,life stage,Genus,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,0.002479093,Population,Sampling from Preston et al. In Prep. Length-to-mass regression from Benke et al. 1999. ,16,0.007411339,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Arthropoda,,Hexapoda,Insecta,,Odonata,Anisoptera,,Cavilabiata,Libellulidae,Tramea,,
49,33,1,adult,33.1,Coenagrion sp. ,Odonata,life stage,Genus,,feeding,free-living,free-living,predator,,High,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,,Odonata,Zygoptera,,Coenagrionoidea,Coenagrionidae,Coenagrion,,
50,33,2,larvae,33.2,Coenagrion sp. ,Odonata,life stage,Genus,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,,Odonata,Zygoptera,,Coenagrionoidea,Coenagrionidae,Coenagrion,,
51,34,1,adult,34.1,Lestes sp. ,Odonata,life stage,Genus,,feeding,free-living,free-living,predator,,High,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,,Odonata,Zygoptera,,Lestoidea,Lestidae,Lestes,,
52,34,2,larvae,34.2,Lestes sp. ,Odonata,life stage,Genus,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,,Odonata,Zygoptera,,Lestoidea,Lestidae,Lestes,,
53,35,1,adult,35.1,Anax junius,Odonata,life stage,Species,,feeding,free-living,free-living,predator,,High,Resident,Native,,,,,,,,Animalia,Arthropoda,,Hexapoda,Insecta,,Odonata,Anisoptera,,Aeshnoidea,Aeshnidae,Anax,junius,
54,35,2,larvae,35.2,Anax junius,Odonata,life stage,Species,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,0.004918079,Population,Sampling from Preston et al. In Prep. Length-to-mass regression from Benke et al. 1999. ,6,0.005753261,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Arthropoda,,Hexapoda,Insecta,,Odonata,Anisoptera,,Aeshnoidea,Aeshnidae,Anax,junius,
55,36,1,adult,36.1,Taricha torosa,Amphibia,life stage,Species,,feeding,free-living,free-living,predator,,High,Resident,Native,,,,,,,,Animalia,Chordata,Craniata,Gnathostomata,Amphibia,,Caudata,,,Salamandroidea,Salamandridae,Taricha,torosa,
56,36,2,larvae,36.2,Taricha torosa,Amphibia,life stage,Species,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,0.017151669,Population,Sampling and Length-to-mass regression from Preston et al. In Prep.,422,1.4111921,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Chordata,Craniata,Gnathostomata,Amphibia,,Caudata,,,Salamandroidea,Salamandridae,Taricha,torosa,
57,37,1,adult,37.1,Anaxyrus boreas,Amphibia,life stage,Species,,feeding,free-living,free-living,predator,,High,Resident,Native,,,,,,,,Animalia,Chordata,Craniata,Gnathostomata,Amphibia,,Anura,Neobatrachia,,Hyloidea,Bufonidae,Anaxyrus,boreas,
58,37,2,larvae,37.2,Anaxyrus boreas,Amphibia,life stage,Species,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,0.022637547,Population,Sampling and Length-to-mass regression from Preston et al. In Prep.,44,0.19420005,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Chordata,Craniata,Gnathostomata,Amphibia,,Anura,Neobatrachia,,Hyloidea,Bufonidae,Anaxyrus,boreas,
59,38,1,adult,38.1,Pseudacris regilla,Amphibia,life stage,Species,,feeding,free-living,free-living,predator,,High,Resident,Native,,,,,,,,Animalia,Chordata,Craniata,Gnathostomata,Amphibia,,Anura,Neobatrachia,,Hyloidea,Hylidae,Pseudiacris,regilla,
60,38,2,larvae,38.2,Pseudacris regilla,Amphibia,life stage,Species,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,0.019761801,Population,Sampling and Length-to-mass regression from Preston et al. In Prep.,264,1.017179858,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Chordata,Craniata,Gnathostomata,Amphibia,,Anura,Neobatrachia,,Hyloidea,Hylidae,Pseudiacris,regilla,
61,39,1,adult,39.1,Rana draytonii,Amphibia,life stage,Species,,feeding,free-living,free-living,predator,,High,Resident,Native,,,,,,,,Animalia,Chordata,Craniata,Gnathostomata,Amphibia,,Anura,Neobatrachia,,Ranoidea,Ranidae,Rana,draytonii,
62,39,2,larvae,39.2,Rana draytonii,Amphibia,life stage,Species,,feeding,free-living,free-living,predator,,Intermediate,Resident,Native,0.157826394,Population,Sampling and Length-to-mass regression from Preston et al. In Prep.,12,0.184628264,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Chordata,Craniata,Gnathostomata,Amphibia,,Anura,Neobatrachia,,Ranoidea,Ranidae,Rana,draytonii,
63,40,1,adult,40.1,Thamnophis atratus,Reptilia,taxon,Species,,feeding,free-living,free-living,predator,,High,Resident,Native,,,,,,,,Animalia,Chordata,Craniata,Gnathostomata,Reptilia,,Squamata,Scleroglossa,Serpentes,Colubroidea,Colubridae,Thamnophis,atratus,
64,41,1,adult,41.1,Tachycineta bicolor,Aves,taxon,Species,,feeding,free-living,free-living,predator,,High,Migrant,Native,,,,,,,,Animalia,Chordata,Craniata,Gnathostomata,Aves,,Passeriformes,,,,Hirundinidae,Tachycineta,bicolor,
65,42,1,adult,42.1,Hirundo rustica,Aves,taxon,Species,,feeding,free-living,free-living,predator,,High,Migrant,Native,,,,,,,,Animalia,Chordata,Craniata,Gnathostomata,Aves,,Passeriformes,,,,Hirundinidae,Hirundo,rustica,
66,43,1,adult,43.1,Agelaius phoeniceus,Aves,taxon,Species,,feeding,free-living,free-living,predator,,High,Resident,Native,,,,,,,,Animalia,Chordata,Craniata,Gnathostomata,Aves,,Passeriformes,,,Passeroidea,Fringilidae,Agelaius,phoeniceus,
67,44,1,adult,44.1,Fulica americana,Aves,taxon,Species,,feeding,free-living,free-living,predator,,High,Resident,Native,,,,,,,,Animalia,Chordata,Craniata,Gnathostomata,Aves,,Gruiformes,,,,Rallidae,Fulica,americana,
68,45,1,adult,45.1,Buteo jamaicensis,Aves,taxon,Species,,feeding,free-living,free-living,predator,,High,Resident,Native,,,,,,,,Animalia,Chordata,Craniata,Gnathostomata,Aves,,Falconiformes,,,,Accipitridae,Buteo,jamaicensis,
69,46,1,adult,46.1,Ardea herodias,Aves,taxon,Species,,feeding,free-living,free-living,predator,,High,Migrant,Native,,,,,,,,Animalia,Chordata,Craniata,Gnathostomata,Aves,,Ciconiiformes,,,,Ardeidae,Ardea,herodias,
70,47,1,adult,47.1,Spermophilus beecheyi,Mamalia,taxon,Species,,feeding,free-living,free-living,predator,,High,Resident,Native,,,,,,,,Animalia,Chordata,Craniata,Gnathostomata,Mammalia,,Rodentia,Sciurognathi,,,Sciuridae,Spermophilus,beecheyi,
71,48,1,adult,48.1,Canis latrans,Mamalia,taxon,Species,,feeding,free-living,free-living,predator,,High,Resident,Native,,,,,,,,Animalia,Chordata,Craniata,Gnathostomata,Mammalia,,Carnivora,Caniformia,,,Canidae,Canis,latrans,
72,49,2,larvae,49.2,Arrenurus sp. ,Arachnida,life stage,Genus,,feeding,infectious,infectious,macroparasite,,,,Native,,,,,,,,Animalia,Arthropoda,,,Arachnida,,Acari,Prostigmata,,Arrenuroidea,Arrenuridae,Arrenurus,,
73,50,1,trophozoite,50.1,Opalina sp.,Protista,life stage,Genus,We classify Opalina as a pathogen based on the assumption that while not directly feeding on host tissue they are likely absorbing nutrients that would otherwise be available to the host. Further research may indicate that this is not the case and they are in fact true commensals.,feeding,infectious,infectious,pathogen,,,,Native,,,,,,,,Protista,Sarcomastigophora,,,Opalinea,,Slopalinida,,,,Opalinidae,Opalina,,
74,50,2,cyst,50.2,Opalina sp.,Protista,life stage,Genus,,non-feeding,free-living,infectious,non-feeding,,,,Native,,,,,,,,Protista,Sarcomastigophora,,,Opalinea,,Slopalinida,,,,Opalinidae,Opalina,,
75,51,1,trophozoite,51.1,Nyctotherus sp. ,Protista,life stage,Genus,,feeding,infectious,infectious,pathogen,,,,Native,,,,,,,,Protista,Ciliophora,,,Ciliatea,,Heterotrichida,,,,Spirostomidae,Nyctotherus,,
76,51,2,cyst,51.2,Nyctotherus sp. ,Protista,life stage,Genus,,non-feeding,free-living,infectious,non-feeding,,,,Native,,,,,,,,Protista,Ciliophora,,,Ciliatea,,Heterotrichida,,,,Spirostomidae,Nyctotherus,,
77,52,1,trophozoite,52.1,Gregarinidae,Protista ,life stage,Family,,feeding,infectious,infectious,macroparasite,,,,Native,,,,,,,,Protista,Apicomplexa,,,Gregarinia,,Eugregarinida,,,,Gregarinidae,,,
78,52,2,sporozoite,52.2,Gregarinidae,Protista,life stage,Family,,non-feeding,free-living,infectious,non-feeding,,,,Native,,,,,,,,Protista,Apicomplexa,,,Gregarinia,,Eugregarinida,,,,Gregarinidae,,,Sporozoites attach to the external surface of insects and are trophically transmitted
79,53,1,sporangia,53.1,Batrachochytrium dendrobatidis,Fungi,life stage,Species,,feeding,infectious,infectious,pathogen,,,,Native,,,,,,,,Fungi,Chytridiomycota,,,Chytridiomycetes,,Chytridiales,,,,,Batrachochytrium,dendrobatidis,
80,53,2,zoospore,53.2,Batrachochytrium dendrobatidis,Fungi,life stage,Species,,non-feeding,free-living,infectious,non-feeding,,Intermediate,,Native,,,,,,,,Fungi,Chytridiomycota,,,Chytridiomycetes,,Chytridiales,,,,,Batrachochytrium,dendrobatidis,
81,54,1,adult,54.1,Nematode ,Nematoda ,life stage,Phylum,,feeding,infectious,infectious,macroparasite,,,,Native,,,,,,,,Animalia,Nematoda,,,,,,,,,,,,
82,55,1,adult,55.1,Daubaylia sp. ,Nematoda ,life stage,Genus,,feeding,infectious,infectious,macroparasite,,,,Native,,,,,,,,Animalia,Nematoda,,,Secernentea,,Rhabditida,,,,Daubayliidae,Daubaylia,,
83,56,1,adult,56.1,Ribeiroia ondatrae,Trematoda,life stage,Species,,feeding,infectious,infectious,macroparasite,,,,Native,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,Digenea,Echinostomida,,,Echinostomata,Psilostomatidae,Ribeiroia,ondatrae,
84,56,2,rediae or sporocyst,56.2,Ribeiroia ondatrae,Trematoda,life stage,Species,,feeding,infectious,infectious,parasitic castrator,,,,Native,0.006361771,Population,Applied proportional mass (Hoverman et al. In Prep) to local host mass frequency distribution. Bodysize includes all clonal rediae in one host.,61,0.027665136,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Platyhelminthes,,,Trematoda,Digenea,Echinostomida,,,Echinostomata,Psilostomatidae,Ribeiroia,ondatrae,
85,56,3,cercariae,56.3,Ribeiroia ondatrae,Trematoda,life stage,Species,,non-feeding,free-living,infectious,non-feeding,,Intermediate,,Native,8.58E-07,Species,Directly weighed cercariae (Preston et al. In Prep),1300,0.000733256,Quantification from sampling,Sampling from Preston et al. In Prep. Measured daily cercarial output. ,Animalia,Platyhelminthes,,,Trematoda,Digenea,Echinostomida,,,Echinostomata,Psilostomatidae,Ribeiroia,ondatrae,
86,56,4,metacercariae or mesocercariae,56.4,Ribeiroia ondatrae,Trematoda,life stage,Species,,feeding,infectious,infectious,trophically transmitted parasite,,,,Native,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,Digenea,Echinostomida,,,Echinostomata,Psilostomatidae,Ribeiroia,ondatrae,
87,57,1,adult,57.1,Megalodiscus sp.,Trematoda,life stage,Genus,,feeding,infectious,infectious,macroparasite,,,,Native,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,Digenea,Echinostomida,,,,Diplodiscidae,Megalodiscus,,
88,57,2,rediae or sporocyst,57.2,Megalodiscus sp.,Trematoda,life stage,Genus,,feeding,infectious,infectious,parasitic castrator,,,,Native,0.004148981,Population,"Applied average proportional mass of other trematode species (Hoverman et al. In Prep, Bernot and Lamberti 2008, Hechinger et al. 2009) to local host mass frequency distribution. Bodysize includes all clonal rediae in one host.",,0.002848285,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Platyhelminthes,,,Trematoda,Digenea,Echinostomida,,,,Diplodiscidae,Megalodiscus,,
89,57,3,cercariae,57.3,Megalodiscus sp.,Trematoda,life stage,Genus,,non-feeding,free-living,infectious,non-feeding,,Intermediate,,Native,5.96E-06,Species,Measured volume and applied proportional volume to mass ratio from R. ondatrae (Preston et al. In Prep),,5.59E-05,Quantification from sampling,Sampling from Preston et al. In Prep. Measured daily cercarial output. ,Animalia,Platyhelminthes,,,Trematoda,Digenea,Echinostomida,,,,Diplodiscidae,Megalodiscus,,
